Team Name,Conference
Providence,Big East
Seton Hall,Big East
St. John's (NY),Big East
Villanova,Big East
Xavier,Big East
Eastern Washington,Big Sky
Idaho,Big Sky
Idaho State,Big Sky
Montana,Big Sky
Montana State,Big Sky
Northern Arizona,Big Sky
Northern Colorado,Big Sky
Portland State,Big Sky
Sacramento State,Big Sky
Southern Utah,Big Sky
Weber State,Big Sky
Campbell,Big South
Charleston Southern,Big South
Gardner-Webb,Big South
Hampton,Big South
High Point,Big South
Longwood,Big South
North Carolina A&T,Big South
Presbyterian,Big South
Radford,Big South
South Carolina Upstate,Big South
UNC Asheville,Big South
Winthrop,Big South
Illinois,Big Ten
Indiana,Big Ten
Iowa,Big Ten
Maryland,Big Ten
Michigan,Big Ten
Michigan State,Big Ten
Minnesota,Big Ten
Nebraska,Big Ten
Northwestern,Big Ten
Ohio State,Big Ten
Penn State,Big Ten
Purdue,Big Ten
Rutgers,Big Ten
Wisconsin,Big Ten
Cal Poly,Big West
Cal State Bakersfield,Big West
Cal State Fullerton,Big West
Cal State Northridge,Big West
Hawaii,Big West
Long Beach State,Big West
UC Davis,Big West
UC Irvine,Big West
UC Riverside,Big West
UC San Diego,Big West
UC Santa Barbara,Big West
College of Charleston,Colonial Athletic Association
Delaware,Colonial Athletic Association
Drexel,Colonial Athletic Association
Elon,Colonial Athletic Association
Hofstra,Colonial Athletic Association
James Madison,Colonial Athletic Association
Northeastern,Colonial Athletic Association
Towson,Colonial Athletic Association
UNC Wilmington,Colonial Athletic Association
William & Mary,Colonial Athletic Association
Charlotte,Conference USA
Florida Atlantic,Conference USA
Florida International,Conference USA
Louisiana,Conference USA
Louisiana Tech,Conference USA
Marshall,Conference USA
Middle Tennessee,Conference USA
North Texas,Conference USA
Old Dominion,Conference USA
Rice,Conference USA
Southern Mississippi,Conference USA
UAB,Conference USA
UTEP,Conference USA
UTSA,Conference USA
Western Kentucky,Conference USA
Cleveland State,Horizon League
Detroit Mercy,Horizon League
Green Bay,Horizon League
Illinois-Chicago,Horizon League
IUPUI,Horizon League
Milwaukee,Horizon League
Northern Kentucky,Horizon League
Oakland,Horizon League
Purdue-Fort Wayne,Horizon League
Robert Morris,Horizon League
Wright State,Horizon League
Youngstown State,Horizon League
Brown,Ivy League
Columbia,Ivy League
Cornell,Ivy League
Dartmouth,Ivy League
Harvard,Ivy League
Pennsylvania,Ivy League
Princeton,Ivy League
Yale,Ivy League
Canisius,Metro Atlantic Athletic
Fairfield,Metro Atlantic Athletic
Iona,Metro Atlantic Athletic
Manhattan,Metro Atlantic Athletic
Marist,Metro Atlantic Athletic
Monmouth,Metro Atlantic Athletic
Niagara,Metro Atlantic Athletic
Quinnipiac,Metro Atlantic Athletic
Rider,Metro Atlantic Athletic
Saint Peter's,Metro Atlantic Athletic
Siena,Metro Atlantic Athletic
Akron,Mid-American
Ball State,Mid-American
Bowling Green State,Mid-American
Buffalo,Mid-American
Central Michigan,Mid-American
Eastern Michigan,Mid-American
Kent State,Mid-American
Miami (OH),Mid-American
Northern Illinois,Mid-American
Ohio,Mid-American
Toledo,Mid-American
Western Michigan,Mid-American
Coppin State,Mid-Eastern Athletic
Delaware State,Mid-Eastern Athletic
Howard,Mid-Eastern Athletic
Maryland-Eastern Shore,Mid-Eastern Athletic
Morgan State,Mid-Eastern Athletic
Norfolk State,Mid-Eastern Athletic
North Carolina Central,Mid-Eastern Athletic
South Carolina State,Mid-Eastern Athletic
Bradley,Missouri Valley
Drake,Missouri Valley
Evansville,Missouri Valley
Illinois State,Missouri Valley
Indiana State,Missouri Valley
Loyola (IL),Missouri Valley
Missouri,Missouri Valley
Missouri State,Missouri Valley
Northern Iowa,Missouri Valley
Southern,Missouri Valley
Southern Illinois,Missouri Valley
Valparaiso,Missouri Valley
Air Force,Mountain West
Boise State,Mountain West
Colorado,Mountain West
Colorado State,Mountain West
Fresno State,Mountain West
Nevada,Mountain West
Nevada-Las Vegas,Mountain West
San Diego,Mountain West
San Diego State,Mountain West
San Jose State,Mountain West
Utah,Mountain West
Utah State,Mountain West
Wyoming,Mountain West
Bryant,Northeast
Central Connecticut State,Northeast
Fairleigh Dickinson,Northeast
Long Island University,Northeast
Merrimack,Northeast
Mount St. Mary's,Northeast
Sacred Heart,Northeast
Saint Francis (PA),Northeast
St. Francis (NY),Northeast
Stonehill,Northeast
Wagner,Northeast
Austin Peay,Ohio Valley
Belmont,Ohio Valley
Eastern Illinois,Ohio Valley
Lindenwood,Ohio Valley
Morehead State,Ohio Valley
Murray State,Ohio Valley
SIU Edwardsville,Ohio Valley
Southeast Missouri State,Ohio Valley
Southern Indiana,Ohio Valley
Tennessee Tech,Ohio Valley
Tennessee-Martin,Ohio Valley
Arizona,Pac-12
Arizona State,Pac-12
California,Pac-12
Oregon,Pac-12
Oregon State,Pac-12
Southern California,Pac-12
Stanford,Pac-12
UCLA,Pac-12
Washington,Pac-12
Washington State,Pac-12
American,Patriot League
Army,Patriot League
Boston University,Patriot League
Bucknell,Patriot League
Colgate,Patriot League
Holy Cross,Patriot League
Lafayette,Patriot League
Lehigh,Patriot League
Loyola (MD),Patriot League
Navy,Patriot League
Alabama,Southeastern
Arkansas,Southeastern
Auburn,Southeastern
Florida,Southeastern
Kentucky,Southeastern
Louisiana State,Southeastern
Mississippi,Southeastern
Mississippi State,Southeastern
South Carolina,Southeastern
Tennessee,Southeastern
Texas A&M,Southeastern
Vanderbilt,Southeastern
Chattanooga,Southern
East Tennessee State,Southern
Furman,Southern
Mercer,Southern
Samford,Southern
Tennessee State,Southern
The Citadel,Southern
UNC Greensboro,Southern
VMI,Southern
Western Carolina,Southern
Wofford,Southern
Houston Christian,Southland
Incarnate Word,Southland
McNeese State,Southland
New Orleans,Southland
Nicholls State,Southland
Northwestern State,Southland
Southeastern Louisiana,Southland
Texas A&M-Commerce,Southland
Texas A&M-Corpus Christi,Southland
Alabama A&M,Southwest Athletic
Alabama State,Southwest Athletic
Alcorn State,Southwest Athletic
Arkansas-Pine Bluff,Southwest Athletic
Bethune-Cookman,Southwest Athletic
Florida A&M,Southwest Athletic
Grambling,Southwest Athletic
Jackson State,Southwest Athletic
Mississippi Valley State,Southwest Athletic
Prairie View,Southwest Athletic
Texas Southern,Southwest Athletic
Denver,Summit League
Kansas City,Summit League
North Dakota,Summit League
North Dakota State,Summit League
Omaha,Summit League
Oral Roberts,Summit League
South Dakota,Summit League
South Dakota State,Summit League
St. Thomas (MN),Summit League
Western Illinois,Summit League
Appalachian State,Sun Belt
Arkansas State,Sun Belt
Coastal Carolina,Sun Belt
Georgia Southern,Sun Belt
Georgia State,Sun Belt
Little Rock,Sun Belt
Louisiana-Monroe,Sun Belt
South Alabama,Sun Belt
Texas State,Sun Belt
Troy,Sun Belt
UT Arlington,Sun Belt
Brigham Young,West Coast
Gonzaga,West Coast
Loyola Marymount,West Coast
Pacific,West Coast
Pepperdine,West Coast
Portland,West Coast
Saint Mary's (CA),West Coast
San Francisco,West Coast
Santa Clara,West Coast
Abilene Christian,Western Athletic
California Baptist,Western Athletic
Chicago State,Western Athletic
Grand Canyon,Western Athletic
Lamar,Western Athletic
New Mexico,Western Athletic
New Mexico State,Western Athletic
Sam Houston State,Western Athletic
Seattle,Western Athletic
Stephen F. Austin,Western Athletic
Tarleton State,Western Athletic
Texas-Rio Grande Valley,Western Athletic
Utah Tech,Western Athletic
Utah Valley,Western Athletic
